[GIN] 2018/04/09 - 17:52:55 | 200 |     194.764µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:52:56 | 200 |     260.474µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:53:03 | 200 |     388.697µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:53:06 | 200 |     212.752µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:53:12 | 200 |     589.811µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:53:54 | 200 |     454.084µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:54:24 | 200 |     383.417µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:55:18 | 200 |     827.316µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:55:45 | 200 |     929.272µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:55:50 | 200 |      246.98µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 17:55:52 | 200 |     427.688µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 17:57:32 | 404 |     397.379µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 17:57:34 | 200 |     684.944µs |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 17:57:37 | 200 |      377.02µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 17:57:38 | 200 |      471.76µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 17:59:40 | 200 |     703.737µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 17:59:56 | 200 |     280.912µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 18:00:13 | 200 |     322.027µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 18:00:14 | 200 |     294.991µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 18:00:15 | 200 |      224.08µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 18:09:54 | 200 |     618.494µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 18:10:27 | 200 |     550.279µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 18:15:05 | 200 |     475.338µs |             ::1 | GET      /api/cookie/set
[GIN] 2018/04/09 - 18:15:07 | 200 |     231.257µs |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:15:08 | 200 |     291.885µs |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:15:10 | 200 |     232.189µs |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:18:38 | 200 |   36.386503ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:20:40 | 200 |   10.629404ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:21:06 | 200 |    3.611418ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:21:08 | 200 |    1.049727ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:22:30 | 200 |    4.271144ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:22:31 | 200 |    1.025772ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:26:02 | 200 |    8.861265ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:26:03 | 200 |    1.086465ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:26:04 | 200 |    1.217855ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:26:05 | 200 |    1.111571ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:26:06 | 200 |    2.141012ms |             ::1 | GET      /api/cookie/set/1231
[GIN] 2018/04/09 - 18:26:09 | 200 |     2.63678ms |             ::1 | GET      /api/cookie/set/1231555
[GIN] 2018/04/09 - 18:26:30 | 200 |    8.938547ms |             ::1 | GET      /api/cookie/set/1231555
[GIN] 2018/04/09 - 18:26:31 | 200 |    7.208884ms |             ::1 | GET      /api/cookie/set/1231555
[GIN] 2018/04/09 - 18:29:38 | 200 |    8.324485ms |             ::1 | GET      /api/cookie/set/1231555
[GIN] 2018/04/09 - 18:29:43 | 200 |    6.931789ms |             ::1 | GET      /api/cookie/set/12
[GIN] 2018/04/09 - 18:29:47 | 200 |     984.002µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/09 - 18:29:48 | 200 |     684.057µs |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/10 - 00:05:29 | 200 |     148.016µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 08:45:16 | 200 |     139.512µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 08:47:38 | 200 |    1.393226ms |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 08:48:41 | 200 |    1.054579ms |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 08:49:22 | 200 |    1.022792ms |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 08:49:55 | 200 |     212.216µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 08:53:38 | 200 |     127.616µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 09:12:53 | 200 |     168.102µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:13:51 | 200 |     157.363µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:14:09 | 200 |     153.287µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:20:04 | 200 |     201.099µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:20:25 | 200 |     731.686µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 09:23:30 | 200 |     152.006µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:23:53 | 200 |     899.305µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 09:25:19 | 200 |     158.179µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:25:31 | 200 |     135.765µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 09:25:49 | 200 |     154.788µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:26:03 | 200 |     143.504µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 09:26:48 | 200 |     175.916µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:26:59 | 200 |     117.166µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 09:31:42 | 200 |    1.008679ms |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:33:31 | 200 |    1.272855ms |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:36:34 | 200 |     860.811µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:37:57 | 200 |     230.379µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:43:11 | 200 |     996.621µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:49:15 | 200 |    5.895792ms |             ::1 | GET      /api/cookie/get
[GIN] 2018/04/10 - 09:49:19 | 200 |      182.05µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:49:51 | 200 |     179.872µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:50:02 | 200 |     993.101µs |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 09:51:38 | 200 |     134.623µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:51:50 | 200 |    1.111554ms |             ::1 | GET      /api/jwt/get
[GIN] 2018/04/10 - 09:54:05 | 200 |     176.237µs |             ::1 | GET      /api/jwt/set/123
[GIN] 2018/04/10 - 09:54:20 | 200 |     209.124µs |             ::1 | GET      /api/jwt/get
